430,2019-05-07,Browns,Colt .45s
431,2019-05-08,Expos,Pelicans
432,2019-05-08,River Dogs,Captains
433,2019-05-08,Grays,Highlanders
434,2019-05-08,Yellow Jackets,Bandits
435,2019-05-08,Blaze,Monarchs
436,2019-05-08,Athletics,Pilgrims
437,2019-05-08,Indians,Firebirds
438,2019-05-08,Pilots,Whales
439,2019-05-08,Knights,Twins
440,2019-05-08,Browns,Colt .45s
441,2019-05-09,Expos,Pelicans
442,2019-05-09,River Dogs,Captains
443,2019-05-09,Grays,Highlanders
444,2019-05-09,Yellow Jackets,Bandits
445,2019-05-09,Blaze,Monarchs
446,2019-05-09,Athletics,Pilgrims
447,2019-05-09,Indians,Firebirds
448,2019-05-09,Pilots,Whales
449,2019-05-09,Knights,Twins
450,2019-05-09,Browns,Colt .45s
451,2019-05-10,Colt .45s,Indians
452,2019-05-10,Bandits,Pilots
453,2019-05-10,Pilgrims,Whales
454,2019-05-10,Highlanders,Blaze
455,2019-05-10,Yellow Jackets,Stars
456,2019-05-10,Expos,Captains
457,2019-05-10,Mudhens,Knights
458,2019-05-10,Gypsies,Monarchs
459,2019-05-10,Pelicans,River Dogs
460,2019-05-10,Reds,Athletics
461,2019-05-11,Colt .45s,Indians
462,2019-05-11,Bandits,Pilots
463,2019-05-11,Pilgrims,Whales
464,2019-05-11,Highlanders,Blaze
465,2019-05-11,Yellow Jackets,Stars
466,2019-05-11,Expos,Captains
467,2019-05-11,Mudhens,Knights
468,2019-05-11,Gypsies,Monarchs
469,2019-05-11,Pelicans,River Dogs
470,2019-05-11,Reds,Athletics
471,2019-05-12,Colt .45s,Indians
472,2019-05-12,Bandits,Pilots
473,2019-05-12,Pilgrims,Whales
474,2019-05-12,Highlanders,Blaze
475,2019-05-12,Yellow Jackets,Stars
476,2019-05-12,Expos,Captains
477,2019-05-12,Mudhens,Knights
478,2019-05-12,Gypsies,Monarchs
479,2019-05-12,Pelicans,River Dogs
480,2019-05-12,Reds,Athletics
481,2019-05-13,Whales,Reds
482,2019-05-13,Browns,Athletics
483,2019-05-13,Highlanders,Gypsies
484,2019-05-13,Pilgrims,Stars
485,2019-05-13,Mudhens,Twins
486,2019-05-13,Yellow Jackets,Firebirds
487,2019-05-13,Captains,Monarchs
488,2019-05-13,Grays,Expos
489,2019-05-13,Pelicans,Knights
490,2019-05-14,Whales,Reds
491,2019-05-14,Browns,Athletics
492,2019-05-14,Highlanders,Gypsies
493,2019-05-14,Pilgrims,Stars
494,2019-05-14,Mudhens,Twins
495,2019-05-14,Yellow Jackets,Firebirds
496,2019-05-14,Captains,Monarchs
497,2019-05-14,Grays,Expos
498,2019-05-14,Pelicans,Knights
499,2019-05-15,Whales,Reds
500,2019-05-15,Browns,Athletics
501,2019-05-15,Highlanders,Gypsies
502,2019-05-15,Pilgrims,Stars
503,2019-05-15,Mudhens,Twins
504,2019-05-15,Yellow Jackets,Firebirds
505,2019-05-15,Captains,Monarchs
506,2019-05-15,Grays,Expos
507,2019-05-15,Pelicans,Knights
508,2019-05-16,Mudhens,Knights
509,2019-05-16,Indians,Yellow Jackets
510,2019-05-16,Colt .45s,Athletics
511,2019-05-16,Grays,Gypsies
512,2019-05-16,Pilots,Bandits
513,2019-05-16,Browns,Reds
514,2019-05-16,Blaze,Pelicans
515,2019-05-16,Twins,River Dogs
516,2019-05-16,Captains,Highlanders
517,2019-05-16,Pilgrims,Firebirds
518,2019-05-16,Stars,Whales
519,2019-05-16,Expos,Monarchs
520,2019-05-17,Mudhens,Knights
521,2019-05-17,Indians,Yellow Jackets
522,2019-05-17,Colt .45s,Athletics
523,2019-05-17,Grays,Gypsies
524,2019-05-17,Pilots,Bandits
525,2019-05-17,Browns,Reds
526,2019-05-17,Blaze,Pelicans
527,2019-05-17,Twins,River Dogs
528,2019-05-17,Captains,Highlanders
529,2019-05-17,Pilgrims,Firebirds
530,2019-05-17,Stars,Whales
531,2019-05-17,Expos,Monarchs
532,2019-05-18,Mudhens,Knights
533,2019-05-18,Indians,Yellow Jackets
534,2019-05-18,Colt .45s,Athletics
535,2019-05-18,Grays,Gypsies
536,2019-05-18,Pilots,Bandits
537,2019-05-18,Browns,Reds
538,2019-05-18,Blaze,Pelicans
539,2019-05-18,Twins,River Dogs
540,2019-05-18,Captains,Highlanders
541,2019-05-18,Pilgrims,Firebirds
542,2019-05-18,Stars,Whales
543,2019-05-18,Expos,Monarchs
544,2019-05-19,Browns,Bandits
545,2019-05-19,Athletics,Pilots
546,2019-05-19,Grays,Blaze
547,2019-05-19,Monarchs,River Dogs
548,2019-05-19,Yellow Jackets,Firebirds
549,2019-05-19,Knights,Highlanders
550,2019-05-19,Twins,Gypsies
551,2019-05-19,Mudhens,Pelicans
552,2019-05-19,Pilgrims,Indians
553,2019-05-19,Stars,Colt .45s
554,2019-05-19,Reds,Whales
555,2019-05-19,Expos,Captains
556,2019-05-20,Browns,Bandits
557,2019-05-20,Athletics,Pilots
558,2019-05-20,Grays,Blaze
559,2019-05-20,Monarchs,River Dogs
560,2019-05-20,Yellow Jackets,Firebirds
561,2019-05-20,Knights,Highlanders
562,2019-05-20,Twins,Gypsies
563,2019-05-20,Mudhens,Pelicans
564,2019-05-20,Pilgrims,Indians
565,2019-05-20,Stars,Colt .45s
566,2019-05-20,Reds,Whales
567,2019-05-20,Expos,Captains
568,2019-05-21,Browns,Bandits
569,2019-05-21,Athletics,Pilots
570,2019-05-21,Grays,Blaze
571,2019-05-21,Monarchs,River Dogs
572,2019-05-21,Yellow Jackets,Firebirds
573,2019-05-21,Knights,Highlanders
574,2019-05-21,Twins,Gypsies
575,2019-05-21,Mudhens,Pelicans
576,2019-05-21,Pilgrims,Indians
577,2019-05-21,Stars,Colt .45s
578,2019-05-21,Reds,Whales
579,2019-05-21,Expos,Captains
580,2019-05-22,Indians,Yellow Jackets
581,2019-05-22,Expos,Grays
582,2019-05-22,Knights,Mudhens
583,2019-05-22,Captains,Gypsies
584,2019-05-22,Stars,Firebirds
585,2019-05-22,River Dogs,Twins
